generation,mi_zone_damage,mi_energy_delta,mi_freeze_pressure,mi_food_dx,mi_food_dy,mi_food_dist,mi_ally_dx,mi_ally_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_sig3_str,mi_sig3_dx,mi_sig3_dy,mi_sig4_str,mi_sig4_dx,mi_sig4_dy,mi_sig5_str,mi_sig5_dx,mi_sig5_dy,mi_mem0,mi_mem1,mi_mem2,mi_mem3,mi_mem4,mi_mem5,mi_mem6,mi_mem7,mi_energy,mi_death_nearby,mi_death_dx,mi_death_dy
140,0.0088,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3097,0.1824,0.2176,0.1385,0.0898,0.1026,0.1575,0.1069,0.1191,0.2660,0.0943,0.2603,0.1471,0.1015,0.1091,0.3179,0.1936,0.2140,0.0096,0.0075,0.0039,0.0138,0.0167,0.0239,0.0178,0.0071,0.0008,0.0000,0.0000,0.0000
150,0.0067,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3060,0.1893,0.2056,0.2642,0.1755,0.1676,0.1437,0.1012,0.0993,0.2743,0.2495,0.2691,0.1897,0.1543,0.1188,0.3031,0.1944,0.1930,0.0210,0.0076,0.0084,0.0087,0.0176,0.0071,0.0146,0.0102,0.0011,0.0000,0.0000,0.0000
160,0.0056,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2130,0.2480,0.2354,0.2967,0.1849,0.1879,0.1085,0.0896,0.0842,0.2087,0.2389,0.2359,0.1622,0.1195,0.1138,0.1630,0.1155,0.1161,0.0042,0.0041,0.0092,0.0071,0.0041,0.0092,0.0119,0.0064,0.0014,0.0000,0.0000,0.0000
170,0.0089,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3858,0.0935,0.0944,0.2618,0.1268,0.1684,0.1520,0.1079,0.1070,0.3048,0.1913,0.1895,0.1216,0.0941,0.0945,0.1773,0.1140,0.1027,0.0190,0.0100,0.0209,0.0050,0.0228,0.0069,0.0178,0.0241,0.0018,0.0000,0.0000,0.0000
180,0.0059,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4006,0.0979,0.0926,0.2558,0.1157,0.1626,0.0624,0.0499,0.0470,0.1957,0.2030,0.2290,0.1388,0.0920,0.0989,0.2754,0.1690,0.1306,0.0138,0.0087,0.0111,0.0044,0.0140,0.0124,0.0303,0.0118,0.0028,0.0000,0.0000,0.0000
190,0.0069,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4298,0.0985,0.1074,0.2977,0.1848,0.1465,0.0739,0.0558,0.0647,0.2224,0.2380,0.2575,0.0830,0.0568,0.0620,0.1654,0.1089,0.1169,0.0367,0.0124,0.0119,0.0156,0.0128,0.0133,0.0259,0.0147,0.0011,0.0000,0.0000,0.0000
200,0.0069,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1977,0.2126,0.2308,0.2780,0.1615,0.1849,0.0527,0.0449,0.0445,0.1893,0.2047,0.2298,0.1168,0.0757,0.0811,0.2654,0.1615,0.1778,0.0155,0.0117,0.0090,0.0097,0.0145,0.0153,0.0053,0.0227,0.0021,0.0000,0.0000,0.0000
210,0.0063,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2385,0.1527,0.1534,0.2057,0.1889,0.1949,0.0842,0.0672,0.0687,0.2192,0.0768,0.2094,0.1130,0.0823,0.0796,0.2170,0.1326,0.1052,0.0198,0.0067,0.0110,0.0088,0.0215,0.0167,0.0260,0.0085,0.0024,0.0000,0.0000,0.0000
220,0.0058,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2467,0.1550,0.1520,0.1856,0.1635,0.1770,0.1148,0.0815,0.0815,0.2078,0.1874,0.1995,0.0960,0.0669,0.0677,0.2510,0.1488,0.1622,0.0162,0.0098,0.0128,0.0104,0.0075,0.0156,0.0091,0.0084,0.0040,0.0000,0.0000,0.0000
230,0.0040,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1163,0.0798,0.0812,0.3453,0.0806,0.0867,0.1280,0.0947,0.0784,0.2046,0.1832,0.1909,0.2044,0.1294,0.1309,0.0916,0.0600,0.0631,0.0143,0.0096,0.0063,0.0208,0.0111,0.0238,0.0187,0.0130,0.0017,0.0000,0.0000,0.0000
240,0.0040,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0975,0.0739,0.0792,0.3277,0.0737,0.0746,0.2006,0.1294,0.1215,0.1805,0.1857,0.1904,0.2355,0.1588,0.1402,0.1712,0.1120,0.0982,0.0158,0.0209,0.0084,0.0193,0.0270,0.0180,0.0346,0.0210,0.0012,0.0000,0.0000,0.0000
250,0.0127,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1642,0.1266,0.1035,0.3334,0.0768,0.2148,0.2121,0.1312,0.1353,0.2398,0.1472,0.1614,0.2419,0.1138,0.1505,0.2088,0.1291,0.1239,0.0223,0.0554,0.0270,0.0094,0.0275,0.0224,0.0032,0.0189,0.0019,0.0000,0.0000,0.0000
260,0.0075,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1052,0.0811,0.0754,0.3547,0.0780,0.0817,0.2087,0.1321,0.1283,0.1648,0.1855,0.1684,0.1526,0.0900,0.0917,0.2388,0.1593,0.1362,0.0174,0.0234,0.0285,0.0101,0.0227,0.0183,0.0185,0.0185,0.0024,0.0000,0.0000,0.0000
270,0.0067,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0675,0.0473,0.0554,0.3664,0.0897,0.0793,0.2426,0.1557,0.1469,0.1663,0.1919,0.1707,0.1222,0.0850,0.0772,0.2547,0.1640,0.1523,0.0208,0.0176,0.0257,0.0094,0.0121,0.0149,0.0071,0.0091,0.0024,0.0000,0.0000,0.0000
280,0.0045,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1711,0.1043,0.0969,0.2180,0.0949,0.0795,0.2762,0.1716,0.1621,0.1509,0.1248,0.1149,0.0351,0.0286,0.0293,0.0973,0.0666,0.0641,0.0151,0.0188,0.0171,0.0170,0.0046,0.0152,0.0127,0.0080,0.0006,0.0000,0.0000,0.0000
290,0.0091,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1233,0.0856,0.0728,0.1828,0.0755,0.0777,0.1969,0.1246,0.1257,0.1576,0.1013,0.1016,0.0519,0.0372,0.0393,0.0935,0.0579,0.0613,0.0150,0.0129,0.0150,0.0077,0.0060,0.0152,0.0109,0.0156,0.0015,0.0000,0.0000,0.0000
300,0.0105,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0978,0.0639,0.0631,0.3064,0.0831,0.0736,0.2040,0.1460,0.1188,0.1411,0.0996,0.0886,0.0189,0.0147,0.0139,0.0439,0.0213,0.0215,0.0152,0.0113,0.0152,0.0110,0.0135,0.0126,0.0117,0.0104,0.0012,0.0000,0.0000,0.0000
310,0.0049,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0707,0.0493,0.0480,0.0000,0.0588,0.0491,0.1551,0.1096,0.0930,0.0672,0.0529,0.0440,0.0182,0.0138,0.0118,0.0479,0.0313,0.0329,0.0088,0.0117,0.0096,0.0161,0.0125,0.0126,0.0136,0.0078,0.0031,0.0000,0.0000,0.0000
