generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
14070,907.6,1950.0,151330,0.5088,0.0003,0.0075,0.0262,0.1487,0.0000,3.4796,0.7617,0.0651,0.0000,0.0000,11.1,9,13,4.5,2,6,237,1.1711,109,0.0014
14080,958.4,1800.0,156653,0.5782,0.0002,0.0053,0.0427,-0.0365,0.0000,3.4517,0.7953,0.0685,0.0000,0.0000,11.2,9,14,4.0,2,6,208,1.2826,106,0.0006
14090,905.9,1850.0,154574,0.5410,0.0003,0.0075,0.0205,0.0371,0.0421,3.4603,0.6115,0.0042,0.0000,0.0000,11.5,9,14,4.3,2,6,234,1.2241,110,0.0010
14100,938.7,1900.0,156615,0.5226,0.0004,0.0047,0.0287,0.0484,0.0000,3.4702,0.6617,-0.1143,0.0000,0.0000,11.4,10,14,4.1,2,6,213,1.1469,96,0.0010
14110,955.4,2050.0,160496,0.5215,0.0001,0.0084,0.0502,0.0433,0.0428,3.5936,0.7730,-0.0251,0.0000,0.0000,11.4,9,14,4.3,2,6,187,1.1788,90,0.0009
14120,985.8,2200.0,160975,0.5715,0.0001,0.0054,0.0304,0.0485,0.0000,3.6468,0.6967,-0.0530,0.0000,0.0000,11.2,9,13,4.3,2,6,211,1.0702,105,0.0007
14130,901.1,1850.0,156044,0.5591,0.0003,0.0220,0.0467,0.1034,0.0000,2.1542,0.7172,0.0820,0.0000,0.0000,11.0,9,13,4.6,2,6,207,0.9861,81,0.0005
14140,925.2,2000.0,162478,0.4472,0.0001,0.0092,0.0271,-0.0121,0.0000,3.3751,0.6096,-0.0556,0.0000,0.0000,11.2,10,14,4.3,2,6,176,1.1387,96,0.0008
14150,987.9,1850.0,161866,0.4720,0.0002,0.0162,0.0371,0.1217,0.0000,3.4359,0.7730,-0.0928,0.0000,0.0000,11.0,9,13,4.1,2,6,176,1.1512,86,0.0007
14160,1034.2,1850.0,169684,0.5024,0.0007,0.0087,0.0200,0.0675,0.0000,3.4523,0.7345,0.0598,0.0000,0.0000,11.2,8,13,4.0,2,6,160,1.1634,81,0.0011
14170,796.4,1700.0,152918,0.4336,0.0003,0.0058,0.0084,0.0459,0.0669,3.1471,0.7474,-0.0875,0.0000,0.0000,11.2,9,13,3.7,2,6,207,1.1373,145,0.0008
