generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
170,1419,2378,0,0,2411,2345,0,0,1787,2493,0,0,2895,3586,0,0,1344,2356,0,0,1781,1718,0,0,0.0458,0.0518,0.0512,0.0499,0.0547,0.0520,0.0045,0.0090,0.0010,0.0028,0.0001,0.0093,0.0040,0.0018,0.0105,0.0000,0.0004,0.0015,0.0042,0.0036,0.0019,0.0108
180,1263,2532,0,0,1326,2646,0,0,1911,2768,3,0,1831,3857,5,0,990,2152,14,0,790,1156,0,0,0.0491,0.0420,0.0457,0.0444,0.0461,0.0534,0.0056,0.0000,0.0033,0.0004,0.0017,0.0029,0.0032,0.0004,0.0017,0.0028,0.0040,0.0055,0.0002,0.0007,0.0041,0.0060
190,902,1846,0,0,707,1565,0,0,1047,2351,0,0,1667,3835,0,0,1930,2770,0,0,1242,2203,0,0,0.0600,0.0549,0.0553,0.0547,0.0560,0.0597,0.0023,0.0002,0.0002,0.0004,0.0036,0.0006,0.0000,0.0000,0.0054,0.0014,0.0000,0.0057,0.0015,0.0063,0.0019,0.0013
200,1907,2853,10,0,825,1315,1,0,1629,2667,15,0,1830,3391,13,0,1705,2870,0,0,1059,2526,9,0,0.0957,0.0761,0.0894,0.0839,0.0882,0.0840,0.0028,0.0004,0.0003,0.0013,0.0011,0.0061,0.0007,0.0010,0.0002,0.0049,0.0005,0.0012,0.0040,0.0011,0.0017,0.0042
210,747,1001,0,0,1312,2202,0,0,1020,2245,0,0,2363,3526,0,0,633,1799,0,0,1542,2391,0,0,0.0967,0.0692,0.0819,0.0839,0.0846,0.0868,0.0034,0.0015,0.0071,0.0004,0.0156,0.0006,0.0021,0.0004,0.0074,0.0002,0.0043,0.0017,0.0035,0.0113,0.0000,0.0099
220,291,935,0,0,589,1132,0,0,621,1315,0,0,1688,3394,0,0,788,1577,0,0,904,957,0,0,0.1010,0.0786,0.0886,0.0930,0.0930,0.1002,0.0052,0.0067,0.0043,0.0055,0.0057,0.0339,0.0003,0.0001,0.0000,0.0107,0.0001,0.0001,0.0142,0.0000,0.0123,0.0121
230,584,842,0,0,117,404,0,0,853,1550,0,0,1056,2449,0,0,620,1193,0,0,364,743,0,0,0.0914,0.0544,0.0909,0.0882,0.0778,0.0962,0.0066,0.0200,0.0016,0.0064,0.0024,0.0035,0.0104,0.0038,0.0085,0.0068,0.0016,0.0001,0.0004,0.0009,0.0004,0.0001
240,284,444,0,0,128,495,0,0,1479,3597,1,0,1121,2248,0,0,966,2250,0,0,1033,2491,0,0,0.1042,0.0651,0.0909,0.0991,0.0867,0.0934,0.0009,0.0206,0.0055,0.0018,0.0045,0.0052,0.0050,0.0104,0.0060,0.0052,0.0011,0.0001,0.0001,0.0006,0.0009,0.0000
250,213,344,0,0,393,694,0,0,2259,3997,0,0,1776,3595,0,0,1629,3777,0,0,1482,2579,0,0,0.0980,0.0647,0.0864,0.0950,0.0853,0.0921,0.0035,0.0002,0.0002,0.0015,0.0037,0.0002,0.0000,0.0005,0.0020,0.0000,0.0005,0.0020,0.0000,0.0005,0.0006,0.0023
260,338,1059,0,0,673,908,0,0,2785,4191,2,0,1509,2570,0,0,1308,2132,0,0,1660,2986,0,0,0.0930,0.0711,0.0923,0.0925,0.0926,0.0925,0.0032,0.0192,0.0144,0.0097,0.0112,0.0080,0.0005,0.0016,0.0011,0.0025,0.0006,0.0003,0.0010,0.0001,0.0001,0.0003
270,680,726,0,0,256,791,0,0,2018,3681,0,0,932,1756,0,0,1108,2262,0,0,2344,3426,0,0,0.1001,0.0782,0.0916,0.0953,0.0854,0.0922,0.0091,0.0313,0.0086,0.0097,0.0125,0.0030,0.0072,0.0063,0.0044,0.0150,0.0000,0.0004,0.0014,0.0002,0.0019,0.0032
280,214,419,0,0,291,400,0,0,1780,3052,0,0,914,1286,0,0,936,2007,0,0,991,1707,0,0,0.0936,0.0543,0.0776,0.0856,0.0765,0.0786,0.0054,0.0037,0.0005,0.0032,0.0002,0.0005,0.0015,0.0000,0.0057,0.0015,0.0012,0.0014,0.0000,0.0051,0.0012,0.0013
290,186,920,0,0,567,646,0,0,1868,3574,0,0,751,1021,0,0,1417,2726,1,0,1614,2905,0,0,0.0810,0.0563,0.0759,0.0797,0.0692,0.0766,0.0036,0.0532,0.0205,0.0402,0.0203,0.0235,0.0080,0.0010,0.0083,0.0063,0.0034,0.0001,0.0001,0.0036,0.0023,0.0002
300,558,721,0,0,487,592,0,0,1592,3416,0,0,756,1108,0,0,747,1386,0,0,1332,2261,0,0,0.0817,0.0705,0.0812,0.0844,0.0860,0.0806,0.0074,0.0001,0.0075,0.0005,0.0039,0.0022,0.0094,0.0011,0.0053,0.0034,0.0042,0.0006,0.0015,0.0016,0.0006,0.0002
310,595,592,0,0,651,780,0,0,2412,3835,0,0,853,1549,0,0,522,899,0,0,873,2167,0,0,0.0813,0.0643,0.0711,0.0765,0.0790,0.0744,0.0017,0.0011,0.0067,0.0109,0.0092,0.0242,0.0024,0.0052,0.0040,0.0152,0.0005,0.0002,0.0055,0.0001,0.0027,0.0037
320,190,878,0,0,244,437,1,0,1570,3615,5,0,1102,2519,0,0,626,2269,1,0,1668,2896,0,0,0.0651,0.0491,0.0616,0.0591,0.0603,0.0599,0.0148,0.0215,0.0111,0.0110,0.0013,0.0226,0.0018,0.0022,0.0126,0.0005,0.0003,0.0050,0.0025,0.0052,0.0021,0.0137
330,198,552,0,0,429,840,0,0,1076,1670,0,0,833,2144,0,0,867,1442,0,0,854,1772,0,0,0.0502,0.0363,0.0480,0.0445,0.0430,0.0486,0.0046,0.0033,0.0093,0.0002,0.0072,0.0023,0.0016,0.0020,0.0008,0.0001,0.0071,0.0001,0.0024,0.0052,0.0012,0.0014
340,169,112,0,0,89,152,0,0,451,853,0,0,831,1700,0,0,270,574,0,0,646,1218,0,0,0.0211,0.0123,0.0225,0.0223,0.0207,0.0244,0.0107,0.0272,0.0331,0.0380,0.0404,0.0329,0.0003,0.0009,0.0014,0.0003,0.0002,0.0004,0.0000,0.0000,0.0002,0.0004
350,88,71,0,0,92,179,0,0,368,842,0,0,486,975,0,0,92,178,0,0,565,975,0,0,0.0466,0.0284,0.0420,0.0398,0.0429,0.0465,0.0005,0.0233,0.0321,0.0249,0.0231,0.0176,0.0007,0.0000,0.0000,0.0004,0.0005,0.0008,0.0022,0.0000,0.0006,0.0004
360,87,216,0,0,263,429,0,0,370,644,0,0,242,503,0,0,297,745,0,0,408,769,0,0,0.0297,0.0210,0.0316,0.0284,0.0272,0.0333,0.0070,0.0049,0.0034,0.0008,0.0000,0.0020,0.0001,0.0017,0.0051,0.0006,0.0009,0.0036,0.0002,0.0009,0.0003,0.0022
370,112,218,0,0,172,354,0,0,672,1633,0,0,816,1434,0,0,143,343,0,0,204,434,0,0,0.0205,0.0188,0.0251,0.0251,0.0285,0.0321,0.0012,0.0001,0.0013,0.0003,0.0012,0.0002,0.0007,0.0007,0.0006,0.0000,0.0029,0.0000,0.0005,0.0027,0.0010,0.0004
380,223,485,0,0,164,440,0,0,1502,1699,0,0,612,1086,0,0,187,261,0,0,459,665,0,0,0.0131,0.0117,0.0163,0.0167,0.0185,0.0215,0.0053,0.0011,0.0125,0.0012,0.0057,0.0047,0.0211,0.0046,0.0118,0.0105,0.0061,0.0014,0.0019,0.0017,0.0012,0.0000
390,58,341,0,0,199,252,0,0,1157,1791,12,0,1044,1911,24,0,467,898,2,0,149,839,20,0,0.0200,0.0149,0.0220,0.0194,0.0189,0.0208,0.0160,0.0547,0.0413,0.0323,0.0273,0.0070,0.0026,0.0068,0.0057,0.0586,0.0012,0.0017,0.0403,0.0013,0.0287,0.0296
400,311,755,5,0,124,445,2,0,1151,3629,49,0,806,1425,17,0,386,978,15,0,594,2409,27,0,0.0382,0.0311,0.0378,0.0411,0.0371,0.0384,0.0114,0.0036,0.0022,0.0029,0.0007,0.0063,0.0012,0.0129,0.0038,0.0009,0.0087,0.0011,0.0014,0.0036,0.0167,0.0050
410,103,259,0,0,367,697,0,0,1806,4176,22,0,1116,3094,9,0,666,1261,2,0,1108,2719,11,0,0.0259,0.0268,0.0291,0.0294,0.0294,0.0296,0.0056,0.0021,0.0015,0.0010,0.0025,0.0010,0.0023,0.0045,0.0004,0.0028,0.0009,0.0015,0.0001,0.0039,0.0004,0.0020
420,196,244,0,0,278,515,0,0,745,1199,0,0,669,1105,0,0,564,779,0,0,829,1192,0,0,0.0299,0.0273,0.0349,0.0335,0.0320,0.0342,0.0065,0.0047,0.0020,0.0024,0.0003,0.0006,0.0006,0.0004,0.0025,0.0019,0.0000,0.0007,0.0004,0.0010,0.0006,0.0000
430,342,688,0,0,164,154,0,0,1007,2222,0,0,524,984,0,0,883,1726,0,0,614,1065,0,0,0.0264,0.0251,0.0297,0.0311,0.0278,0.0289,0.0048,0.0174,0.0002,0.0001,0.0000,0.0006,0.0216,0.0145,0.0162,0.0115,0.0007,0.0004,0.0016,0.0000,0.0002,0.0004
440,201,484,0,0,194,318,0,0,977,1625,0,0,946,2022,0,0,734,951,0,0,767,1765,0,0,0.0249,0.0202,0.0283,0.0283,0.0269,0.0258,0.0034,0.0041,0.0038,0.0004,0.0110,0.0001,0.0000,0.0020,0.0017,0.0032,0.0018,0.0019,0.0029,0.0073,0.0001,0.0095
450,284,664,0,0,101,303,0,0,948,1753,0,0,945,2020,0,0,453,695,1,0,674,1123,0,0,0.0338,0.0298,0.0387,0.0355,0.0364,0.0362,0.0024,0.0015,0.0015,0.0002,0.0053,0.0032,0.0061,0.0029,0.0123,0.0091,0.0006,0.0013,0.0003,0.0034,0.0018,0.0005
460,274,632,0,0,200,403,0,0,776,1839,0,0,476,713,0,0,420,530,0,0,531,1494,0,0,0.0204,0.0193,0.0250,0.0239,0.0214,0.0218,0.0030,0.0005,0.0000,0.0053,0.0105,0.0010,0.0007,0.0025,0.0064,0.0029,0.0059,0.0114,0.0007,0.0009,0.0108,0.0179
470,104,305,0,0,374,639,0,0,441,915,0,0,400,989,0,0,489,1003,0,0,663,1589,0,0,0.0092,0.0079,0.0142,0.0098,0.0104,0.0106,0.0029,0.0077,0.0031,0.0007,0.0033,0.0010,0.0011,0.0037,0.0009,0.0032,0.0008,0.0000,0.0006,0.0009,0.0000,0.0006
480,154,463,1,0,81,172,0,0,656,1466,2,0,574,897,0,0,314,676,2,0,983,1675,0,0,0.0020,0.0019,0.0041,0.0029,0.0026,0.0025,0.0020,0.0036,0.0022,0.0120,0.0028,0.0090,0.0004,0.0027,0.0007,0.0014,0.0039,0.0001,0.0024,0.0036,0.0002,0.0022
490,32,60,0,0,152,417,0,0,1056,1430,1,0,905,1975,3,0,284,526,0,0,1255,2418,2,0,0.0108,0.0088,0.0138,0.0102,0.0096,0.0112,0.0035,0.0038,0.0033,0.0010,0.0000,0.0002,0.0140,0.0017,0.0041,0.0035,0.0066,0.0030,0.0037,0.0011,0.0005,0.0002
