    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target\release\semiotic-emergence.exe 42 10000`
gen  390 | avg    26.5 | max    81.0 | signals 1059 | icon -0.003 | MI 0.003 | jsd 0.178/0.078 | sym [0.234,0.061,0.201] | sil -0.488
gen  400 | avg    22.9 | max    64.0 | signals 816 | icon -0.011 | MI 0.021 | jsd 0.254/0.087 | sym [0.204,0.169,0.245] | sil -0.528
gen  410 | avg    20.8 | max    81.0 | signals 737 | icon 0.000 | MI 0.024 | jsd 0.279/0.094 | sym [0.257,0.125,0.299] | sil -0.498
gen  420 | avg    20.1 | max    54.0 | signals 817 | icon 0.010 | MI 0.022 | jsd 0.378/0.072 | sym [0.143,0.307,0.294] | sil -0.506
gen  430 | avg    18.8 | max    58.0 | signals 758 | icon -0.017 | MI 0.028 | jsd 0.203/0.125 | sym [0.115,0.075,0.305] | sil -0.500
gen  440 | avg    24.3 | max    53.0 | signals 955 | icon -0.017 | MI 0.029 | jsd 0.582/0.185 | sym [0.423,0.563,0.389] | sil -0.353
gen  450 | avg    33.4 | max    72.0 | signals 1317 | icon 0.000 | MI 0.011 | jsd 0.287/0.170 | sym [0.154,0.363,0.291] | sil -0.289
gen  460 | avg    22.9 | max    62.0 | signals 781 | icon -0.006 | MI 0.032 | jsd 0.282/0.158 | sym [0.111,0.331,0.258] | sil -0.494
gen  470 | avg    35.7 | max    87.0 | signals 1326 | icon -0.000 | MI 0.038 | jsd 0.467/0.157 | sym [0.318,0.257,0.254] | sil -0.182
gen  480 | avg    20.1 | max    60.0 | signals 704 | icon -0.037 | MI 0.010 | jsd 0.228/0.159 | sym [0.086,0.286,0.211] | sil -0.352
gen  490 | avg    25.3 | max    66.0 | signals 973 | icon -0.006 | MI 0.019 | jsd 0.327/0.285 | sym [0.175,0.466,0.250] | sil -0.337
gen  500 | avg    19.4 | max    52.0 | signals 705 | icon -0.013 | MI 0.012 | jsd 0.123/0.269 | sym [0.271,0.132,0.144] | sil -0.566
gen  510 | avg    27.4 | max    75.0 | signals 1090 | icon -0.015 | MI 0.020 | jsd 0.023/0.197 | sym [0.040,0.331,0.054] | sil -0.286
