generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths
9240,992.3,2000.0,161676,0.4608,0.0000,0.1312,0.0843,-0.0045,0.0782,0.0000,0.6294,0.0000,0.0000,0.0000,11.1,10,12,3.2,2,6,183,0.2058,87
9250,1041.1,2200.0,163288,0.4382,0.0000,0.1772,0.1329,0.0884,0.0000,0.0000,0.7539,0.0000,0.0000,0.0000,11.1,9,13,3.2,2,6,177,0.2258,100
9260,899.1,2150.0,147128,0.5055,0.0001,0.1642,0.2304,0.0449,0.0000,6.9207,0.7766,0.0000,0.0000,0.0000,11.3,10,13,3.5,2,7,238,0.2281,120
9270,1028.4,2059.7,163156,0.4458,0.0000,0.1621,0.0970,0.0125,0.0000,6.9207,0.6769,0.0000,0.0000,0.0000,11.1,10,13,3.5,2,6,183,0.2424,115
9280,965.4,2150.0,155381,0.5377,0.0000,0.1975,0.2184,0.0982,0.0000,6.9207,0.7636,0.0000,0.0000,0.0000,11.3,10,13,3.7,2,7,226,0.2148,134
9290,976.1,2050.0,159147,0.4582,0.0002,0.2075,0.1093,-0.0739,0.0000,6.9207,0.6260,0.0000,0.0000,0.0000,11.3,10,13,3.8,2,8,198,0.2209,62
9300,954.8,1850.0,159542,0.4999,0.0002,0.1666,0.0933,0.0652,0.0000,6.9207,0.7573,0.0000,0.0000,0.0000,11.3,10,13,3.2,2,7,194,0.2299,81
9310,962.5,2100.0,154305,0.5066,0.0001,0.2733,0.1520,0.0839,0.0000,6.9207,0.7697,0.0000,0.0000,0.0000,11.3,9,13,3.6,2,7,223,0.2341,140
9320,990.0,1950.0,160787,0.5582,0.0000,0.2215,0.1509,0.0677,0.0000,6.9207,0.7847,0.0000,0.0000,0.0000,11.2,10,13,4.1,2,7,215,0.1805,80
9330,923.8,2050.0,157941,0.3864,0.0001,0.1851,0.1212,-0.0082,0.0000,6.9207,0.6873,0.0000,0.0000,0.0000,11.3,10,13,4.1,2,7,208,0.2460,152
9340,1049.1,2150.0,162820,0.5535,0.0001,0.1708,0.1195,0.1013,0.0000,6.9207,0.7745,0.0000,0.0000,0.0000,11.3,10,13,4.7,2,8,211,0.3868,107
9350,826.8,2250.0,145687,0.5156,0.0002,0.1954,0.1752,0.0828,0.0537,6.9207,0.6543,0.0000,0.0000,0.0000,11.2,10,13,4.8,2,8,250,0.4031,115
9360,999.1,1950.0,159371,0.5471,0.0001,0.1821,0.1165,0.0787,0.0000,3.8304,0.7898,0.0000,0.0000,0.0000,11.4,10,13,4.3,2,7,204,0.3642,101
9370,875.7,1800.0,154178,0.5370,0.0001,0.2452,0.1258,-0.0034,0.0000,3.8075,0.7493,0.0000,0.0000,0.0000,11.4,10,13,3.7,2,7,214,0.4339,126
9380,1021.0,2000.0,159408,0.5065,0.0002,0.1566,0.1453,0.1070,0.0652,3.8075,0.7878,0.0000,0.0000,0.0000,11.4,10,13,3.9,2,7,210,0.3439,119
9390,938.3,1850.0,158943,0.4737,0.0002,0.1345,0.0936,0.0513,0.0000,3.8075,0.6953,0.0000,0.0000,0.0000,11.4,10,13,3.7,2,7,190,0.3476,110
9400,993.7,1950.0,158349,0.5898,0.0000,0.1347,0.0837,0.1901,0.0000,3.8075,0.8085,0.0000,0.0000,0.0000,11.4,10,13,3.4,2,8,210,0.4268,135
